|id |name|comment|min_confidence|send_internal_notifications|events_holder                       |status|created_at             |client_id|color  |time_attendance                                                      |list_permissions                                                                                                                                                            |analytics_ids|show_popup_for_internal_notifications|
|53|Procurados ES|[NULL]|10|true|{"events":[{"id":"a82d2ffb-36a1-484e-ac0b-3e73948ed1e7","params":{}}],"notify_enabled":true}|1|2025-09-23 20:36:45.888|0|#de0d0d|{"enabled":false,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":1,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[601]|true|
|54|Trontec|[NULL]|80|true|{"events":[{"id":"a1bc326f-f60e-4243-8c1a-8bcb2e11948f","params":{}}],"notify_enabled":true}|1|2024-07-12 21:01:29.539|45|#ff0000|{"enabled":false,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":50,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[96]|true|
|55|Trontec 1|[NULL]|80|true|{"events":[],"notify_enabled":false}|1|2024-07-19 16:06:26.944|0|#FFFFFF|{"enabled":true,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":1,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[]|false|
|56|Moradores|[NULL]|80|true|{"events":[],"notify_enabled":false}|1|2024-11-25 18:39:32.331|46|#000000|{"enabled":false,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":50,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[196]|false|
|57|BANCO SICOOB|[NULL]|80|true|{"events":[{"id":"022a8a2b-3d6e-41f4-aac1-cc7736041f02","params":{}}],"notify_enabled":true}|1|2025-08-07 22:03:04.644|84|#1beb00|{"enabled":false,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":1,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[211,216,527]|true|
|58|GRUPO SEI|[NULL]|80|true|{"events":[{"id":"4d9c5181-6c62-4e22-b3f9-02c93b94a5ad","params":{}}],"notify_enabled":true}|1|2025-08-09 10:11:04.04|84|#e20808|{"enabled":false,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":1,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[211,216,527]|true|
|59|LIMPEZA|[NULL]|80|true|{"events":[{"id":"4d9c5181-6c62-4e22-b3f9-02c93b94a5ad","params":{}}],"notify_enabled":true}|1|2025-01-05 16:23:34.81|84|#f0f0f0|{"enabled":false,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":1,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[211,216]|true|
|60|SEGURANCA SHOPPING|[NULL]|60|true|{"events":[],"notify_enabled":false}|1|2025-01-18 09:28:47.246|0|#0cc908|{"enabled":false,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":1,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[143,144,145,148,151,158,186,206,228,300]|false|
|61|CAPIXABA SERVICOS INTEGRADOS|[NULL]|80|true|{"events":[{"id":"3f384d50-aab2-4e1f-918c-0b3481a14d05","params":{}}],"notify_enabled":true}|1|2025-02-18 10:06:32.206|0|#0b2cd0|{"enabled":false,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":1,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[260,261]|true|
|62|Portal Patropolis|[NULL]|80|false|{"events":[],"notify_enabled":false}|1|2025-11-03 18:51:22.724|0|#FFFFFF|{"enabled":true,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":1,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[628]|false|
|63|Prestadores de Servicos|[NULL]|80|true|{"events":[],"notify_enabled":false}|1|2025-02-23 15:08:57.782|0|#FFFFFF|{"enabled":true,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":1,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[]|false|
|64|Suspeitor|[NULL]|80|true|{"events":[],"notify_enabled":false}|1|2025-03-11 09:18:34.292|86|#ff0000|{"enabled":false,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":1,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[283]|false|
|65|FORAGIDOS|[NULL]|80|true|{"events":[],"notify_enabled":false}|1|2025-03-11 09:22:13.907|86|#ffc21a|{"enabled":false,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":1,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[]|false|
|66|Vertex Colaboradores|[NULL]|80|true|{"events":[],"notify_enabled":false}|1|2025-05-21 16:39:48.908|0|#FFFFFF|{"enabled":true,"entrance_analytics_ids":[],"exit_analytics_ids":[]}|{"creator_id":1,"default_permissions":{"ViewFaceLists":true,"AddFaceListElement":true,"EditFaceListElement":true,"DeleteFaceListElement":true},"role_permissions":{},"user_permissions":{}}|[]|false|
